paper_id,title,research_topic,opportunity_category,opportunity
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.6170506,"Optimizing AMI Data Acquisition for Residential Load Forecasting Minimum Requirements for Interval, Precision, and Historical Duration",Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.2139_ssrn.6170506,"Optimizing AMI Data Acquisition for Residential Load Forecasting Minimum Requirements for Interval, Precision, and Historical Duration",Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,SHAP,STGT architecture,Apply SHAP to node-level and global graph features separately for operator-facing explanations.
10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,SHAP,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.2139_ssrn.5113684,Under-Frequency Load Shedding in System with Grid-Forming Ibr,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_isgtla64895.2025.11371202,Impact of Tuning Under Frequency Load Shedding Scheme on Frequency Response: A Case Study from Puerto Rico,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_sgee68429.2025.11385577,Active Load Shedding Control Method and Frequency Modulation Strategy for New Energy Participating in AGC,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.2139_ssrn.5104306,Optimal Parking Lot Retrofit Planning for Electric Vehicle Charging Station During Prolonged Load Shedding,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_isitia66279.2025.11137472,Optimization of Under Frequency Load Shedding Using Artificial Neural Network Clustering for Production Security in Upstream Oil and Gas,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1016_j.energy.2025.135624,Optimal parking lot retrofit planning for electric vehicle charging station during prolonged load shedding,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_icmlas64557.2025.10967699,Smart Grid Management with AI Driven Analytics in Solar Energy,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_icmlant68509.2025.11394862,Towards Smart Charging Strategies: Using Machine Learning to Predict EV Charging Pattern via Smart Grid,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_wconf64849.2025.11233664,Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,Explainable AI,STGT architecture,Apply SHAP to node-level and global graph features separately for operator-facing explanations.
10.1109_access.2025.3543759,Interpretable Prediction of a Decentralized Smart Grid Based on Machine Learning and Explainable Artificial Intelligence,Explainable AI,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2024.3458074,Aggregator-Grid Interactive Building Dual-Layer Price-Responsive Demand Response Scheduling Based on Federated Deep Reinforcement Learning,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_tsg.2024.3458074,Aggregator-Grid Interactive Building Dual-Layer Price-Responsive Demand Response Scheduling Based on Federated Deep Reinforcement Learning,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_icsge68440.2025.11441914,A Centralized Deep Reinforcement Learning Method for Demand Response in Building Clusters,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_icsge68440.2025.11441914,A Centralized Deep Reinforcement Learning Method for Demand Response in Building Clusters,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_b978-0-443-28951-4.00003-4,Smart grid technologies through data preprocessing and feature engineering: role in demand response and green machine learning,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1016_b978-0-443-28951-4.00003-4,Smart grid technologies through data preprocessing and feature engineering: role in demand response and green machine learning,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Graph Neural Networks,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1109_tsg.2023.3315750,A Multi-Scale Spatial–Temporal Graph Neural Network-Based Method of Multienergy Load Forecasting in Integrated Energy System,Graph Neural Networks,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Graph Neural Networks,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1109_tsg.2023.3321116,Load Forecasting of Electric Vehicle Charging Stations: Attention Based Spatiotemporal Multi–Graph Convolutional Networks,Graph Neural Networks,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Graph Transformers,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1016_j.ijepes.2024.110074,"Enhancing multivariate, multi-step residential load forecasting with spatiotemporal graph attention-enabled transformer",Graph Transformers,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Explainable AI,STGT architecture,Apply SHAP to node-level and global graph features separately for operator-facing explanations.
10.1016_j.egyai.2024.100358,Explainability and Interpretability in Electric Load Forecasting Using Machine Learning Techniques – A Review,Explainable AI,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Multi-task Learning,Multi-task extension,Reframe multi-task heads toward demand regression + shedding event detection.
10.1016_j.apenergy.2024.123788,Multi-energy load forecasting via hierarchical multi-task learning and spatiotemporal attention,Multi-task Learning,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1007_s41019-023-00233-8,Graph Neural Network-Based Short‑Term Load Forecasting with Temporal Convolution,Graph Neural Networks,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1007_s41019-023-00233-8,Graph Neural Network-Based Short‑Term Load Forecasting with Temporal Convolution,Graph Neural Networks,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Feature/method transfer,Integrate semi-Markov / security assessment metrics as auxiliary stress labels.
10.1109_tpwrs.2024.3357748,A Semi-Markov Stochastic Model for Operational Reliability Assessment of Hybrid AC and LCC-VSC-Based DC System With Remote Wind Farms,Operational Stress Assessment,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Feature/method transfer,Integrate semi-Markov / security assessment metrics as auxiliary stress labels.
10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,Operational Stress Assessment,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,Spatio-Temporal Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,STGT architecture,Extend univariate forecast pipelines to graph-coupled multi-task targets.
10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,Electrical Load Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,STGT architecture,Map resilience indicators to graph-level stress covariates in STGT.
10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,Power System Reliability,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Feature/method transfer,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering."
10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,Smart Grid Analytics,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,Spatio-Temporal Forecasting,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Bangladesh validation,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors.
10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,Graph Neural Networks,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Shedding formulation,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation.
10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,Load Shedding Prediction,Bangladesh validation,Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).
