catalog_index,paper_id,title,doi,year,research_topic,problem,dataset,features,model,explainability_method,strengths,weaknesses,limitations,future_opportunities,relevance_to_stgt_paper
37,10.1109_icpst61417.2024.10602123,Operational Security Situation Assessment of Power System Based on Random Matrix Theory and L2 Norm,10.1109/icpst61417.2024.10602123,2024,Operational Stress Assessment,Smart-grid analytics aligned with operational stress assessment,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),random matrix,None reported in available metadata,Operational reliability/stress framing aligns with project operational-stress index (Phase 05B).,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Often reliability-engineering stochastic models rather than ML forecasting pipelines. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | May focus on transmission/HV assets rather than daily regional demand-shedding stress. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Integrate semi-Markov / security assessment metrics as auxiliary stress labels. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — operational stress/reliability assessment context
38,10.1109_pesgm51994.2024.10688439,Optimal Coordinated Generator Tripping and Load Shedding for Power System Transient Stability Enhancement,10.1109/pesgm51994.2024.10688439,2024,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
39,10.1109_epsic63429.2024.00025,A Load Shedding Control Method for Power System Based on Frequency Prediction and Deep Reinforcement Learning,10.1109/epsic63429.2024.00025,2024,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,frequency / stability signals,deep reinforcement learning,None reported in available metadata,Directly targets load-shedding decision/control—high operational relevance.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Surrogate/control models may not generalise under distribution shift from rare shedding events. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
40,10.1016_j.heliyon.2024.e35273,Performance analysis of deep learning-based electric load forecasting model with particle swarm optimization,10.1016/j.heliyon.2024.e35273,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),particle swarm; deep learning; optimization,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
41,10.1109_iyce60333.2024.10634913,Very Short-Term Prosumer Electric Load Forecasting Using Deep Learning-Based Techniques,10.1109/iyce60333.2024.10634913,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),deep learning,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
42,10.23919_ccc63176.2024.10662217,Short-term electric load forecasting method based on hybrid ensemble deep learning framework,10.23919/ccc63176.2024.10662217,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),ensemble; deep learning,None reported in available metadata,Core load-forecasting competency underpins primary STGT regression heads. | Hybrid/ensemble designs offer ablation baselines for STGT comparisons.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
43,10.2139_ssrn.4896999,Short-Term Load Forecasting with Deep Learning: Improving Performance with Post-Training Specialization,10.2139/ssrn.4896999,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),deep learning,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
44,10.1109_iccspa61559.2024.10794251,On the Utilization of Autoformer-Based Deep Learning for Electric Vehicle Charging Load Forecasting,10.1109/iccspa61559.2024.10794251,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),autoformer; deep learning,None reported in available metadata,Core load-forecasting competency underpins primary STGT regression heads.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
45,10.2139_ssrn.4937263,Short Term Residential Load Multi Step Forecasting Via Dual Channel Spatial-Temporal Transformer Based on Seasonal Trend Decoupling,10.2139/ssrn.4937263,2024,Spatio-Temporal Forecasting,Short-/medium-term energy or load forecasting (spatio-temporal forecasting),Residential load/AMI data (region not fully specified in metadata),Historical load and calendar covariates (inferred from title),transformer,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Explicitly models spatial dependencies—essential for multi-node Bangladesh grid forecasting. | Transformer temporal backbone aligns with STGT sequence modelling requirements.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Graph topology construction (physical vs correlation-based) often under-specified for transfer to new regions. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,High — direct architectural alignment with STGT; spatio-temporal transformer backbone
46,10.1109_npsc61626.2024.10986789,Transformer-Based Short-Term Residential Load Forecasting Integrated Peer-to-Peer Energy Trading,10.1109/npsc61626.2024.10986789,2024,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Residential load/AMI data (region not fully specified in metadata),Historical load and calendar covariates (inferred from title),transformer,None reported in available metadata,Core load-forecasting competency underpins primary STGT regression heads.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
47,10.1109_tsg.2024.3393426,Under-Frequency Load Shedding for Power Reserve Management in Islanded Microgrids,10.1109/tsg.2024.3393426,2024,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Islanded/microgrid operational scenarios,frequency / stability signals,load shedding prediction,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
48,10.1016_j.apenergy.2024.123162,Optimal adaptive decentralized under-frequency load shedding for islanded smart distribution network considering wind power uncertainty,10.1016/j.apenergy.2024.123162,2024,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,frequency / stability signals; wind-power uncertainty,load shedding prediction,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
49,10.1109_tsg.2023.3296014,Hybrid Machine Learning Forecasting for Online MPC of Work Place Electric Vehicle Charging,10.1109/tsg.2023.3296014,2024,Smart Grid Analytics,Short-/medium-term energy or load forecasting (smart grid analytics),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),machine learning,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
50,10.1007_s42979-024-03305-2,Integrated Architecture for Smart Grid Energy Management: Deep Attention-Enhanced Sequence-to-Sequence Model with Energy-Aware Optimized Reinforcement Learning for Demand Response,10.1007/s42979-024-03305-2,2024,Smart Grid Analytics,"Smart-grid operational analytics (demand response, security, or cyber resilience)",Not explicitly stated in available metadata,demand-response participation signals,smart grid analytics,None reported in available metadata,"Journal venue provides peer-reviewed validation beyond conference abstracts. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Federated/DRL setups add deployment complexity not yet in project pipeline. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
51,10.1016_j.ijepes.2023.109310,A novel resilience assessment for active distribution networks including a DER voltage regulation scheme considering windstorms,10.1016/j.ijepes.2023.109310,2023,Power System Reliability,Quantifying or improving power-system reliability/resilience under disturbances,Not explicitly stated in available metadata,wind-power uncertainty,power system reliability,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Resilience under extreme weather connects to Bangladesh seasonal demand peaks (Phase 02).,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Resilience metrics (ENS, outage duration) differ from daily MW shedding targets. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | DER/windstorm scenarios may not reflect Bangladesh fuel/limitation drivers documented in dataset. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Map resilience indicators to graph-level stress covariates in STGT. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — operational stress/reliability assessment context
52,10.1016_j.ress.2023.109212,Vulnerability analysis of demand-response with renewable energy integration in smart grids to cyber attacks and online detection methods,10.1016/j.ress.2023.109212,2023,Smart Grid Analytics,"Smart-grid operational analytics (demand response, security, or cyber resilience)",Not explicitly stated in available metadata,renewable-generation indicators,smart grid analytics,None reported in available metadata,"Journal venue provides peer-reviewed validation beyond conference abstracts. | Strong citation footprint (63) suggests community uptake and methodological influence. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
53,10.1016_j.apenergy.2022.120565,Spatio-temporal wind speed forecasting using graph networks and novel Transformer architectures,10.1016/j.apenergy.2022.120565,2023,Spatio-Temporal Forecasting,Short-/medium-term energy or load forecasting (spatio-temporal forecasting),Not explicitly stated in available metadata,graph-structured spatial features; wind-power uncertainty,transformer,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Strong citation footprint (175) suggests community uptake and methodological influence. | Explicitly models spatial dependencies—essential for multi-node Bangladesh grid forecasting. | Transformer temporal backbone aligns with STGT sequence modelling requirements.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Graph topology construction (physical vs correlation-based) often under-specified for transfer to new regions. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,High — direct architectural alignment with STGT; spatio-temporal transformer backbone
54,10.1109_tsg.2022.3208211,Efficient Residential Electric Load Forecasting via Transfer Learning and Graph Neural Networks,10.1109/tsg.2022.3208211,2023,Graph Neural Networks,Short-/medium-term energy or load forecasting (graph neural networks),Residential load/AMI data (region not fully specified in metadata),graph-structured spatial features,graph neural network; neural network,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Strong citation footprint (97) suggests community uptake and methodological influence. | Explicitly models spatial dependencies—essential for multi-node Bangladesh grid forecasting.","Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Graph topology construction (physical vs correlation-based) often under-specified for transfer to new regions. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Evaluation typically on US/EU datasets; direct transfer to Bangladesh division-level topology unverified. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Adapt graph-learning modules to 9-division Bangladesh node set with Phase 02 correlation priors. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,High — direct architectural alignment with STGT; graph-based spatial modelling
55,10.1109_ei259745.2023.10512367,DNN-Based Prediction Method of Optimal Load Shedding for Power System With High Penetration of Renewable Energy Under Typhoon Weather,10.1109/ei259745.2023.10512367,2023,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,weather / temperature; renewable-generation indicators,load shedding prediction,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Surrogate/control models may not generalise under distribution shift from rare shedding events. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
