feature,count,mean,std,min,25%,50%,75%,max,median,skewness,kurtosis,iqr,n_zeros
Year,1850.0,2021.9237837837838,1.4638705507868712,2019.0,2021.0,2022.0,2023.0,2024.0,2022.0,-0.04387624696376658,-1.1912327016944217,2.0,0
Month,1850.0,6.647027027027027,3.5035722053777634,1.0,4.0,7.0,10.0,12.0,7.0,-0.03653247869604637,-1.2359752361377987,6.0,0
Max. Demand at eve. peak (Generation end),1850.0,11670.265405405406,2083.7092092026483,6958.0,9928.5,11620.5,13265.5,17200.0,11620.5,0.18505469928709536,-0.833473459972311,3337.0,0
Max. Demand at eve. peak (Sub-station end),1850.0,11167.43587027027,2028.4510341611995,6752.0,9530.0,11145.5,12732.75,16417.0,11145.5,0.11509557476195975,-0.8403822027949466,3202.75,0
Highest Generation (Generation end),1850.0,11580.174972972973,1946.6382240613057,6958.0,9917.25,11652.0,13078.5,16477.0,11652.0,0.03678510853694973,-0.9367057647931598,3161.25,0
Minimum Generation (Generation end),1850.0,8363.687491891891,2056.2339648685265,4292.2,6576.0,8319.3,10027.0,13298.0,8319.3,0.19500576777618175,-0.9715602942034098,3451.0,0
Day-peak Generation (Generation end),1850.0,9870.285372972974,1858.0477181355682,5504.8,8460.0,9813.5,11270.5,14488.0,9813.5,0.03822563214145199,-0.6766291253329086,2810.5,0
Evening-peak Generation (Generation end),1850.0,11545.215135135135,1937.5922676787907,6958.0,9893.25,11607.5,13044.75,16477.0,11607.5,0.05590920081071617,-0.9210134943024375,3151.5,0
Minimum Generation Forecast up to 8:00 hrs.,1850.0,8359.954913513513,2093.4452226333974,2679.2,6555.75,8284.5,10034.0,13298.0,8284.5,0.17292235887921897,-0.9204769189262536,3478.25,0
Maximum Temperature in Dhaka was,1850.0,31.533513513513512,4.046407520858207,15.4,29.2,32.5,34.4,40.6,32.5,-0.8626100668825956,0.6778381262848301,5.199999999999999,0
Gas/LF limitation,1850.0,2408.512972972973,1114.5868045284337,267.0,1427.25,2264.5,3166.25,5854.0,2264.5,0.5067127599115827,-0.5868943102083537,1739.0,0
Coal supply Limitation,1850.0,110.12324324324324,93.6466954557903,0.0,0.0,109.0,170.0,444.0,109.0,0.26600996866173526,-0.9430637218235223,170.0,500
Low water level in Kaptai lake,1850.0,114.76432432432432,82.55337439705552,0.0,0.0,153.0,190.0,230.0,153.0,-0.4451013674790379,-1.4997016697169028,190.0,547
Plants under shut down/ maintenance,1850.0,2189.5494594594593,869.7640435589801,105.0,1702.5,2066.0,2583.0,6580.0,2066.0,1.1804882606702312,3.4825690711003543,880.5,0
Dhaka_demand,1850.0,3995.085945945946,771.1050387015873,2079.0,3413.25,3993.5,4619.0,5944.0,3993.5,-0.015277309691213204,-0.7873040247418701,1205.75,0
Dhaka_supply,1850.0,3969.4464864864863,742.979700001604,2079.0,3412.25,3989.0,4566.0,5869.0,3989.0,-0.08449823086455753,-0.8009438780246434,1153.75,0
Dhaka_load,1850.0,25.956756756756757,90.8312151672041,0.0,0.0,0.0,0.0,2002.0,0.0,8.6203171169603,136.17833272577195,0.0,1497
Chattogram_demand,1850.0,1147.4162162162163,176.26495542916763,611.0,1007.0,1160.0,1289.0,1633.0,1160.0,-0.1165320306899476,-0.7600241978544253,282.0,0
Chattogram_supply,1850.0,1141.9016216216216,171.32057328053128,611.0,1006.0,1154.0,1280.75,1564.0,1154.0,-0.15904012374973386,-0.7778747306663778,274.75,0
Chattogram_load,1850.0,5.490810810810811,30.052508075622857,0.0,0.0,0.0,0.0,500.0,0.0,7.435358567345078,72.07045340747501,0.0,1761
Rajshahi_demand,1850.0,1189.5416216216215,228.0578893982509,746.0,991.0,1179.0,1357.75,1881.0,1179.0,0.35735148734640176,-0.6284181004653631,366.75,0
Rajshahi_supply,1850.0,1178.4156756756756,218.94151104762895,746.0,989.0,1174.0,1325.75,1870.0,1174.0,0.35977462996756265,-0.5304117310458607,336.75,0
Rajshahi_load,1850.0,11.209189189189189,40.47155818667216,0.0,0.0,0.0,0.0,356.0,0.0,4.121989507028798,18.243517306918925,0.0,1675
Mymensingh_demand,1850.0,937.2756756756756,171.99085811764536,577.0,801.0,940.0,1056.0,1463.0,940.0,0.17847203887513782,-0.6076887580728005,255.0,0
Mymensingh_supply,1850.0,901.8589189189189,138.3165848754801,577.0,792.25,910.0,1008.75,1244.0,910.0,-0.14785661876828085,-0.8261720361240967,216.5,0
Mymensingh_load,1850.0,35.08108108108108,69.92943146863209,0.0,0.0,0.0,35.0,665.0,0.0,2.3157763830321256,6.545095144313203,35.0,1330
Sylhet_demand,1850.0,446.4237837837838,98.72003383468315,257.0,357.0,444.0,524.75,722.0,444.0,0.3158157270353756,-0.9918313704943102,167.75,0
Sylhet_supply,1850.0,439.52,91.69356566180096,257.0,355.25,437.5,509.0,722.0,437.5,0.2563099801351301,-1.007125773095124,153.75,0
Sylhet_load,1850.0,6.991351351351351,24.297683562687777,0.0,0.0,0.0,0.0,350.0,0.0,4.831866660664621,34.00396349616685,0.0,1630
Barishal_demand,1850.0,331.52216216216215,79.99022922806603,121.0,262.0,324.5,392.75,567.0,324.5,0.3691603680210865,-0.7963112331025481,130.75,0
Barishal_supply,1850.0,330.86918918918917,79.03633473690782,121.0,262.0,324.5,392.0,552.0,324.5,0.3457105853753598,-0.8211010501727065,130.0,0
Barishal_load,1850.0,0.754054054054054,6.701996933447641,0.0,0.0,0.0,0.0,110.0,0.0,10.007601234879921,109.03597140596327,0.0,1822
Rangpur_demand,1850.0,724.1632432432432,178.0446840513669,190.0,648.0,730.0,821.0,1134.0,730.0,-0.9071395377450684,1.6729647519321866,173.0,0
Rangpur_supply,1850.0,710.5654054054054,165.0198974939901,190.0,644.25,724.0,806.0,1056.0,724.0,-1.2286768663123246,2.23461522741427,161.75,0
Rangpur_load,1850.0,13.618918918918919,37.70137090636729,0.0,0.0,0.0,0.0,272.0,0.0,3.067854849077038,9.499687106282936,0.0,1574
Cumilla_demand,1850.0,1055.3383783783784,233.1406891755164,594.0,838.0,1073.0,1243.75,1619.0,1073.0,0.026164532768416016,-1.1528539778357625,405.75,0
Cumilla_supply,1850.0,1038.3697297297297,216.01446817826593,594.0,838.0,1063.0,1215.0,1583.0,1063.0,-0.03936482319097035,-1.1331035056474452,377.0,0
Cumilla_load,1850.0,16.68216216216216,49.44607778810205,0.0,0.0,0.0,0.0,440.0,0.0,3.65967169094339,14.86362267283669,0.0,1531
Khulna_demand,1850.0,1379.162162162162,269.8940995282565,838.0,1129.0,1377.0,1587.75,2108.0,1377.0,0.22296372771373302,-1.0199140322617162,458.75,0
Khulna_supply,1850.0,1367.9151351351352,260.6112398216387,838.0,1127.0,1372.0,1565.0,2088.0,1372.0,0.2306200331623954,-0.941530689192613,438.0,0
Khulna_load,1850.0,11.19027027027027,45.34196146363581,0.0,0.0,0.0,0.0,400.0,0.0,4.618969707472401,22.609946522016035,0.0,1690
Holiday_cat,1850.0,0.3178378378378378,0.8414335777986998,0.0,0.0,0.0,0.0,3.0,0.0,2.5304413712417264,4.866168645793081,0.0,1586
