feature_name,feature_category,mathematical_definition,required_input_columns,expected_output_type,scientific_motivation,stgt_relevance,generic_or_novel,implementation_difficulty,priority,status
Date (temporal index),Temporal,t = parsed datetime index; preserved unscaled,Date,datetime64[ns],Anchors all time-series and windowing operations.,Required for spatio-temporal sequence construction and chronological batching.,Generic,Low,High,Existing
"Year, Month (calendar numerics)",Temporal,"Year(t), Month(t) from Date; StandardScaled in Phase 04",Year; Month,float32 (scaled),Captures long-term growth and coarse seasonality.,Global context signal for transformer temporal attention.,Generic,Low,High,Existing
National generation & peak demand metrics (7 cols),Grid,Raw national MW measurements; StandardScaled in Phase 04,Max. Demand at eve. peak (Generation end); Max. Demand at eve. peak (Sub-station end); Highest Generation (Generation end); Minimum Generation (Generation end); Day-peak Generation (Generation end); Evening-peak Generation (Generation end); Minimum Generation Forecast up to 8:00 hrs.,float32 (scaled) × 7,System-wide supply-demand balance at generation and sub-station ends.,Graph-level (global) conditioning vector for multi-node STGT.,Generic,Low,High,Existing
Operational limitation drivers (5 cols),Operational,"Gas/LF, coal, water, shutdown MW limits; StandardScaled",Maximum Temperature in Dhaka was; Gas/LF limitation; Coal supply Limitation; Low water level in Kaptai lake; Plants under shut down/ maintenance,float32 (scaled) × 5,"Fuel, water, and maintenance constraints drive supply shortfalls and stress.",Exogenous global stress covariates modulating attention across all nodes.,Generic,Low,High,Existing
Regional demand per node (9 cols),Regional,D_r(t) MW for each division r; StandardScaled,Dhaka_demand; Chattogram_demand; Rajshahi_demand; Mymensingh_demand; Sylhet_demand; Barishal_demand; Rangpur_demand; Cumilla_demand; Khulna_demand,float32 (scaled) × 9,Primary node-level load signal; dominant predictor of future demand.,Core node feature for graph transformer message passing.,Generic,Low,High,Existing
Regional supply per node (9 cols),Regional,S_r(t) MW; StandardScaled,Dhaka_supply; Chattogram_supply; Rajshahi_supply; Mymensingh_supply; Sylhet_supply; Barishal_supply; Rangpur_supply; Cumilla_supply; Khulna_supply,float32 (scaled) × 9,Delivered power; closely tracks demand in this dataset.,Node feature; collinear with demand — informs supply-side stress.,Generic,Low,Medium,Existing
Regional load-shedding per node (9 cols),Operational,L_r(t) MW unmet demand; StandardScaled; sparse (mostly zero),Dhaka_load; Chattogram_load; Rajshahi_load; Mymensingh_load; Sylhet_load; Barishal_load; Rangpur_load; Cumilla_load; Khulna_load,float32 (scaled) × 9,Direct measure of operational stress / load shedding at node r.,Primary sparse multi-task target and node-level stress indicator.,Generic,Low,High,Existing
Day-of-week one-hot (7 cols),Temporal,OneHot(Day of the week); fitted on train in Phase 04,Day of the week,float32 binary × 7,Weekly demand cycle; Friday holiday effect observed in EDA.,Calendar conditioning for temporal attention patterns.,Generic,Low,Medium,Existing
Holiday name one-hot (~28 train categories),Temporal,OneHot(Holiday name); handle_unknown=ignore,Holiday name,float32 binary × ~28,Public/religious holidays alter industrial and commercial load.,Event-based calendar conditioning; reduces Friday-only confounding.,Generic,Low,Medium,Existing
Holiday category one-hot (4 cols),Temporal,OneHot(Holiday_cat) for categories 0–3,Holiday_cat,float32 binary × 4,Compact holiday severity/type encoding.,Lower-dimensional calendar signal vs full holiday name.,Generic,Low,Low,Existing
day_of_year_sin,Temporal,sin(2π · doy(t) / 365.25) where doy = day-of-year from Date,Date,float32,Continuous cyclic encoding of annual seasonality (summer peak month 9 in EDA).,Smooth seasonal inductive bias for temporal self-attention without one-hot month.,Generic,Low,High,Proposed
day_of_year_cos,Temporal,cos(2π · doy(t) / 365.25),Date,float32,Complementary seasonal phase to day_of_year_sin.,Pairs with sin term for full annual cycle representation.,Generic,Low,High,Proposed
trend_index,Temporal,t_idx = (Date - Date_min).days; optionally StandardScaled on train,Date,float32,Captures ~52% demand growth 2019→2024 observed in Phase 02 EDA.,Explicit trend channel for long-horizon forecasting in transformer.,Generic,Low,High,Proposed
is_weekend,Temporal,"1 if Day of the week ∈ {Friday, Saturday}; else 0 (Bangladesh weekend pattern)",Day of the week,int8 / float32,Friday shows lowest mean demand and load-shedding in temporal EDA.,Compact weekly effect complementing one-hot day features.,Generic,Low,Medium,Proposed
gap_days_since_previous_observation,Temporal,Δt = (Date_t - Date_{t-1}).days; first row = NaN or 0,Date,float32,17 calendar gaps exist (Phase 03); lag windows must respect irregular spacing.,Gap-aware temporal modelling; flags when past lag spans missing days.,Novel,Low,High,Proposed
demand_lag_1_Dhaka,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Dhaka_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Chattogram,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Chattogram_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Rajshahi,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Rajshahi_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Mymensingh,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Mymensingh_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Sylhet,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Sylhet_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Barishal,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Barishal_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Rangpur,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Rangpur_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Cumilla,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Cumilla_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_1_Khulna,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Khulna_demand; Date,float32,Strong autoregressive structure in daily demand series.,Primary node-level autoregressive input for one-step STGT forecasting.,Generic,Medium,High,Proposed
demand_lag_7_Dhaka,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Dhaka_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Dhaka.,Novel,Medium,High,Proposed
demand_lag_7_Chattogram,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Chattogram_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Chattogram.,Novel,Medium,High,Proposed
demand_lag_7_Rajshahi,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Rajshahi_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Rajshahi.,Novel,Medium,High,Proposed
demand_lag_7_Mymensingh,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Mymensingh_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Mymensingh.,Novel,Medium,High,Proposed
demand_lag_7_Sylhet,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Sylhet_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Sylhet.,Novel,Medium,High,Proposed
demand_lag_7_Barishal,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Barishal_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Barishal.,Novel,Medium,High,Proposed
demand_lag_7_Rangpur,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Rangpur_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Rangpur.,Novel,Medium,High,Proposed
demand_lag_7_Cumilla,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Cumilla_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Cumilla.,Novel,Medium,High,Proposed
demand_lag_7_Khulna,Temporal,"D_r(t-7_obs) — 7th preceding observed row (gap-aware, not calendar D-7)",Khulna_demand; Date,float32,Weekly periodicity in daily load profiles.,Weekly cycle channel for temporal attention at node Khulna.,Novel,Medium,High,Proposed
load_lag_1_Dhaka,Temporal,L_r(t-1); past observed row only,Dhaka_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Chattogram,Temporal,L_r(t-1); past observed row only,Chattogram_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Rajshahi,Temporal,L_r(t-1); past observed row only,Rajshahi_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Mymensingh,Temporal,L_r(t-1); past observed row only,Mymensingh_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Sylhet,Temporal,L_r(t-1); past observed row only,Sylhet_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Barishal,Temporal,L_r(t-1); past observed row only,Barishal_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Rangpur,Temporal,L_r(t-1); past observed row only,Rangpur_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Cumilla,Temporal,L_r(t-1); past observed row only,Cumilla_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
load_lag_1_Khulna,Temporal,L_r(t-1); past observed row only,Khulna_load; Date,float32,Load-shedding events may persist across consecutive stress days.,Autoregressive channel for sparse load-shedding task head.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Dhaka,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Dhaka_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Chattogram,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Chattogram_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Rajshahi,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Rajshahi_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Mymensingh,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Mymensingh_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Sylhet,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Sylhet_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Barishal,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Barishal_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Rangpur,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Rangpur_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Cumilla,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Cumilla_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_mean_7_Khulna,Statistical,mean(D_r(t-k)) for k=1..7 observed rows; min_periods=7; train-only for any fill params,Khulna_demand; Date,float32,Smooths daily noise; captures short-term level.,Low-frequency node state for message passing.,Generic,Medium,High,Proposed
demand_rolling_std_7_Dhaka,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Dhaka_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Chattogram,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Chattogram_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Rajshahi,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Rajshahi_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Mymensingh,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Mymensingh_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Sylhet,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Sylhet_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Barishal,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Barishal_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Rangpur,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Rangpur_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Cumilla,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Cumilla_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
demand_rolling_std_7_Khulna,Statistical,std(D_r(t-k)) for k=1..7 observed rows,Khulna_demand; Date,float32,Elevated volatility precedes operational stress.,Node uncertainty signal for stress-assessment task.,Generic,Medium,Medium,Proposed
