split,feature,count,n_missing,missing_pct,mean,std,min,max
train,day_of_year_sin,1295,0,0.0,-0.0,1.000386,-1.534973,1.326283
train,day_of_year_cos,1295,0,0.0,0.0,1.000386,-1.464828,1.35102
train,trend_index,1295,0,0.0,0.0,1.000386,-1.735104,1.740137
train,gap_days_since_previous_observation,1295,0,0.0,-0.0,1.000397,-10.927681,21.679108
train,total_regional_demand,1295,0,0.0,-0.0,1.000386,-2.107813,2.650148
train,total_regional_load,1295,0,0.0,0.0,1.000386,-0.310048,13.418854
train,generation_reserve,1295,0,0.0,0.0,1.000387,-7.085678,8.372658
train,temperature_anomaly_month,1295,0,0.0,0.0,1.000386,-4.564738,3.469963
train,total_operational_limitation,1295,0,0.0,0.0,1.000386,-2.224984,2.293638
train,operational_stress_index,1295,0,0.0,0.0,1.000386,-2.678194,5.038421
train,any_regional_shedding,1295,0,0.0,0.181467,0.385554,0.0,1.0
train,demand_lag_1_Dhaka,1295,1,0.0772,0.0,1.000386,-2.404509,2.757971
train,demand_lag_1_Chattogram,1295,1,0.0772,0.0,1.000387,-2.925734,2.978838
train,demand_lag_1_Rajshahi,1295,1,0.0772,0.0,1.000387,-2.012899,3.286641
train,demand_lag_1_Mymensingh,1295,1,0.0772,0.0,1.000387,-2.110286,2.588729
train,demand_lag_1_Sylhet,1295,1,0.0772,0.0,1.000387,-1.889326,2.440241
train,demand_lag_1_Barishal,1295,1,0.0772,0.0,1.000386,-1.814077,3.295384
train,demand_lag_1_Rangpur,1295,1,0.0772,0.0,1.000387,-2.834968,2.206666
train,demand_lag_1_Cumilla,1295,1,0.0772,0.0,1.000387,-1.900946,2.607354
train,demand_lag_1_Khulna,1295,1,0.0772,0.0,1.000386,-1.988253,2.883032
train,demand_lag_7_Dhaka,1295,7,0.5405,0.0,1.000388,-2.407742,2.77761
train,demand_lag_7_Chattogram,1295,7,0.5405,0.0,1.000389,-2.921751,2.983716
train,demand_lag_7_Rajshahi,1295,7,0.5405,-0.0,1.000389,-2.012006,3.302904
train,demand_lag_7_Mymensingh,1295,7,0.5405,0.0,1.000389,-2.107578,2.597695
train,demand_lag_7_Sylhet,1295,7,0.5405,-0.0,1.000389,-1.885998,2.44733
train,demand_lag_7_Barishal,1295,7,0.5405,0.0,1.000389,-1.813753,3.311888
train,demand_lag_7_Rangpur,1295,7,0.5405,-0.0,1.000388,-2.833969,2.216705
train,demand_lag_7_Cumilla,1295,7,0.5405,0.0,1.000388,-1.897883,2.615124
train,demand_lag_7_Khulna,1295,7,0.5405,0.0,1.000389,-1.988331,2.900154
train,load_lag_1_Dhaka,1295,1,0.0772,-0.0,1.000388,-0.22391,20.503553
train,load_lag_1_Chattogram,1295,1,0.0772,0.0,1.000386,-0.158799,16.601917
train,load_lag_1_Rajshahi,1295,1,0.0772,-0.0,1.000386,-0.25996,8.674265
train,load_lag_1_Mymensingh,1295,1,0.0772,0.0,1.000386,-0.378083,10.121294
train,load_lag_1_Sylhet,1295,1,0.0772,0.0,1.000383,-0.2324,14.964543
train,load_lag_1_Barishal,1295,1,0.0772,-0.0,1.000387,-0.089903,18.510021
train,load_lag_1_Rangpur,1295,1,0.0772,0.0,1.000389,-0.268089,8.364915
train,load_lag_1_Cumilla,1295,1,0.0772,0.0,1.000386,-0.273562,9.012506
train,load_lag_1_Khulna,1295,1,0.0772,0.0,1.000389,-0.240235,8.357872
train,demand_rolling_mean_7_Dhaka,1295,7,0.5405,0.0,1.000389,-2.28857,2.499378
train,demand_rolling_mean_7_Chattogram,1295,7,0.5405,0.0,1.000388,-2.567755,2.108209
train,demand_rolling_mean_7_Rajshahi,1295,7,0.5405,0.0,1.000389,-1.726792,2.926289
train,demand_rolling_mean_7_Mymensingh,1295,7,0.5405,0.0,1.000389,-1.977666,2.538464
train,demand_rolling_mean_7_Sylhet,1295,7,0.5405,0.0,1.000389,-1.464668,2.198664
train,demand_rolling_mean_7_Barishal,1295,7,0.5405,0.0,1.000389,-1.645328,2.937512
train,demand_rolling_mean_7_Rangpur,1295,7,0.5405,-0.0,1.000388,-2.814875,1.909804
train,demand_rolling_mean_7_Cumilla,1295,7,0.5405,0.0,1.000388,-1.611917,2.504338
train,demand_rolling_mean_7_Khulna,1295,7,0.5405,0.0,1.000388,-1.638794,2.482767
train,regional_demand_share_Dhaka,1295,0,0.0,-0.0,1.000387,-4.258921,2.071113
train,regional_demand_share_Chattogram,1295,0,0.0,-0.0,1.000386,-4.308935,4.500069
train,regional_demand_share_Rajshahi,1295,0,0.0,0.0,1.000386,-2.508068,3.345621
train,regional_demand_share_Mymensingh,1295,0,0.0,0.0,1.000386,-4.693036,2.972968
train,regional_demand_share_Sylhet,1295,0,0.0,-0.0,1.000387,-3.540713,3.302037
train,regional_demand_share_Barishal,1295,0,0.0,0.0,1.000386,-3.054009,4.098004
train,regional_demand_share_Rangpur,1295,0,0.0,0.0,1.000387,-3.092032,1.924008
train,regional_demand_share_Cumilla,1295,0,0.0,0.0,1.000387,-3.282646,4.533483
train,regional_demand_share_Khulna,1295,0,0.0,0.0,1.000386,-5.557078,4.432865
train,regional_load_intensity_Dhaka,1295,0,0.0,0.0,1.000387,-0.223353,21.201845
train,regional_load_intensity_Chattogram,1295,0,0.0,0.0,1.000387,-0.160481,17.010418
train,regional_load_intensity_Rajshahi,1295,0,0.0,-0.0,1.000385,-0.262781,8.0412
train,regional_load_intensity_Mymensingh,1295,0,0.0,0.0,1.000387,-0.385168,9.992116
train,regional_load_intensity_Sylhet,1295,0,0.0,-0.0,1.000385,-0.237826,14.7974
train,regional_load_intensity_Barishal,1295,0,0.0,-0.0,1.000386,-0.089764,19.231318
train,regional_load_intensity_Rangpur,1295,0,0.0,0.0,1.000386,-0.270983,7.961394
train,regional_load_intensity_Cumilla,1295,0,0.0,-0.0,1.000386,-0.274786,9.992801
train,regional_load_intensity_Khulna,1295,0,0.0,0.0,1.000385,-0.244341,7.672886
validation,day_of_year_sin,277,0,0.0,-0.453395,0.900011,-1.534973,1.294333
validation,day_of_year_cos,277,0,0.0,0.155373,1.020442,-1.464828,1.35102
validation,trend_index,277,0,0.0,2.113636,0.214115,1.742807,2.482163
validation,gap_days_since_previous_observation,277,0,0.0,-0.019513,0.653052,-0.058751,10.810179
validation,total_regional_demand,277,0,0.0,0.606756,0.984557,-1.383943,2.323416
validation,total_regional_load,277,0,0.0,0.02186,0.562019,-0.310048,3.126082
validation,generation_reserve,277,0,0.0,-0.068157,0.69574,-5.786658,2.770635
validation,temperature_anomaly_month,277,0,0.0,-0.096705,0.983477,-3.40045,2.376705
validation,total_operational_limitation,277,0,0.0,0.352176,0.818932,-1.20798,2.769356
validation,operational_stress_index,277,0,0.0,0.094569,0.772656,-1.219668,3.232926
validation,any_regional_shedding,277,0,0.0,0.523466,0.500353,0.0,1.0
validation,demand_lag_1_Dhaka,277,0,0.0,0.735655,0.865586,-1.661146,2.39974
validation,demand_lag_1_Chattogram,277,0,0.0,0.324019,0.929467,-2.064891,2.580193
validation,demand_lag_1_Rajshahi,277,0,0.0,0.316108,1.162051,-1.702046,2.865485
validation,demand_lag_1_Mymensingh,277,0,0.0,0.631229,1.11043,-1.494461,2.722605
validation,demand_lag_1_Sylhet,277,0,0.0,0.415565,1.108316,-1.286758,2.473717
validation,demand_lag_1_Barishal,277,0,0.0,0.69385,1.116163,-1.182735,2.781501
validation,demand_lag_1_Rangpur,277,0,0.0,0.70517,0.748973,-0.898562,2.654424
validation,demand_lag_1_Cumilla,277,0,0.0,0.371071,1.041287,-1.501534,2.318125
validation,demand_lag_1_Khulna,277,0,0.0,0.383164,1.077555,-1.46019,2.391809
validation,demand_lag_7_Dhaka,277,0,0.0,0.759935,0.88171,-1.661086,2.417793
validation,demand_lag_7_Chattogram,277,0,0.0,0.344494,0.933716,-2.060778,2.58501
validation,demand_lag_7_Rajshahi,277,0,0.0,0.338079,1.175782,-1.700252,2.880527
validation,demand_lag_7_Mymensingh,277,0,0.0,0.629313,1.10704,-1.490933,2.731749
validation,demand_lag_7_Sylhet,277,0,0.0,0.437668,1.114568,-1.282906,2.480836
validation,demand_lag_7_Barishal,277,0,0.0,0.712006,1.129065,-1.180413,2.884752
validation,demand_lag_7_Rangpur,277,0,0.0,0.728563,0.755358,-0.894091,2.665266
validation,demand_lag_7_Cumilla,277,0,0.0,0.385083,1.047475,-1.498055,2.325593
validation,demand_lag_7_Khulna,277,0,0.0,0.408395,1.095265,-1.458403,2.407197
validation,load_lag_1_Dhaka,277,0,0.0,-0.144858,0.1978,-0.22391,1.204856
validation,load_lag_1_Chattogram,277,0,0.0,-0.097565,0.499193,-0.158799,6.042666
validation,load_lag_1_Rajshahi,277,0,0.0,-0.101139,0.558294,-0.25996,3.328788
validation,load_lag_1_Mymensingh,277,0,0.0,0.271641,0.893645,-0.378083,4.358478
validation,load_lag_1_Sylhet,277,0,0.0,0.196626,1.038334,-0.2324,5.846377
validation,load_lag_1_Barishal,277,0,0.0,-0.027028,0.608191,-0.089903,6.673706
validation,load_lag_1_Rangpur,277,0,0.0,0.25738,1.27212,-0.268089,6.079708
validation,load_lag_1_Cumilla,277,0,0.0,0.075618,0.820838,-0.273562,4.17953
validation,load_lag_1_Khulna,277,0,0.0,-0.092795,0.648033,-0.240235,3.843865
validation,demand_rolling_mean_7_Dhaka,277,0,0.0,0.8069,0.827929,-1.284318,2.080594
validation,demand_rolling_mean_7_Chattogram,277,0,0.0,0.365118,0.935383,-1.412154,2.175385
validation,demand_rolling_mean_7_Rajshahi,277,0,0.0,0.345698,1.194553,-1.375862,2.680102
validation,demand_rolling_mean_7_Mymensingh,277,0,0.0,0.667685,1.113157,-1.170667,2.52927
validation,demand_rolling_mean_7_Sylhet,277,0,0.0,0.447914,1.129438,-0.968204,2.332523
validation,demand_rolling_mean_7_Barishal,277,0,0.0,0.73613,1.136649,-0.647042,2.539964
validation,demand_rolling_mean_7_Rangpur,277,0,0.0,0.740008,0.718168,-0.290601,2.156603
validation,demand_rolling_mean_7_Cumilla,277,0,0.0,0.391785,1.053403,-1.049022,1.88666
validation,demand_rolling_mean_7_Khulna,277,0,0.0,0.417934,1.109883,-1.01825,2.133165
validation,regional_demand_share_Dhaka,277,0,0.0,0.460435,0.98897,-4.055107,3.086622
validation,regional_demand_share_Chattogram,277,0,0.0,-0.607286,0.787852,-3.165237,1.869678
validation,regional_demand_share_Rajshahi,277,0,0.0,-0.583677,0.73145,-2.97818,1.396473
validation,regional_demand_share_Mymensingh,277,0,0.0,-0.005532,0.864482,-4.280653,2.488642
validation,regional_demand_share_Sylhet,277,0,0.0,-0.189603,0.896287,-2.778387,2.147259
validation,regional_demand_share_Barishal,277,0,0.0,0.414075,1.024647,-2.147598,5.567208
validation,regional_demand_share_Rangpur,277,0,0.0,0.396944,0.485343,-1.333398,1.585643
validation,regional_demand_share_Cumilla,277,0,0.0,-0.246747,0.946791,-2.976609,4.104547
validation,regional_demand_share_Khulna,277,0,0.0,-0.48467,0.804496,-2.449484,2.475129
validation,regional_load_intensity_Dhaka,277,0,0.0,-0.148325,0.19092,-0.223353,1.191388
validation,regional_load_intensity_Chattogram,277,0,0.0,-0.098977,0.500817,-0.160481,6.265167
validation,regional_load_intensity_Rajshahi,277,0,0.0,-0.110935,0.565266,-0.262781,4.719429
validation,regional_load_intensity_Mymensingh,277,0,0.0,0.244844,0.841305,-0.385168,3.684571
validation,regional_load_intensity_Sylhet,277,0,0.0,0.17749,1.002392,-0.237826,5.682619
validation,regional_load_intensity_Barishal,277,0,0.0,-0.008473,0.784984,-0.089764,8.801377
validation,regional_load_intensity_Rangpur,277,0,0.0,0.187296,1.110162,-0.270983,5.347405
validation,regional_load_intensity_Cumilla,277,0,0.0,0.047155,0.747335,-0.274786,3.495152
validation,regional_load_intensity_Khulna,277,0,0.0,-0.100121,0.654656,-0.244341,4.865005
test,day_of_year_sin,278,0,0.0,-0.335092,1.018891,-1.534973,1.326283
test,day_of_year_cos,278,0,0.0,-0.305817,0.932772,-1.464775,1.35102
test,trend_index,278,0,0.0,2.867367,0.223417,2.484832,3.245542
test,gap_days_since_previous_observation,278,0,0.0,0.254024,4.01345,-0.058751,65.154823
test,total_regional_demand,278,0,0.0,1.313172,0.984122,-0.998906,3.155097
test,total_regional_load,278,0,0.0,0.554446,1.199171,-0.310048,5.85312
test,generation_reserve,278,0,0.0,-0.333968,1.456177,-6.314385,3.393082
test,temperature_anomaly_month,278,0,0.0,0.120321,1.06806,-3.091056,2.301212
test,total_operational_limitation,278,0,0.0,1.255927,1.431366,-1.489784,4.006781
test,operational_stress_index,278,0,0.0,0.595925,1.124272,-1.542155,3.473071
test,any_regional_shedding,278,0,0.0,0.633094,0.48283,0.0,1.0
test,demand_lag_1_Dhaka,278,0,0.0,1.318892,0.942166,-1.38504,3.068059
test,demand_lag_1_Chattogram,278,0,0.0,0.832717,0.888447,-1.689356,2.707297
test,demand_lag_1_Rajshahi,278,0,0.0,1.091824,1.306918,-1.541606,3.677714
test,demand_lag_1_Mymensingh,278,0,0.0,1.377064,1.118781,-1.032592,3.82038
test,demand_lag_1_Sylhet,278,0,0.0,1.081853,1.091664,-1.09706,3.299459
test,demand_lag_1_Barishal,278,0,0.0,1.455864,1.174829,-2.76843,3.779902
test,demand_lag_1_Rangpur,278,0,0.0,1.10158,0.837123,-0.747371,2.479973
test,demand_lag_1_Cumilla,278,0,0.0,1.076656,0.952619,-1.143441,2.804764
test,demand_lag_1_Khulna,278,0,0.0,1.130594,1.110386,-1.247327,3.210513
test,demand_lag_7_Dhaka,278,0,0.0,1.349672,0.932328,-1.383756,3.089072
test,demand_lag_7_Chattogram,278,0,0.0,0.857119,0.864016,-1.685186,2.712134
test,demand_lag_7_Rajshahi,278,0,0.0,1.140357,1.274451,-1.539346,3.695111
test,demand_lag_7_Mymensingh,278,0,0.0,1.42644,1.089625,-1.028448,3.830986
test,demand_lag_7_Sylhet,278,0,0.0,1.111304,1.063805,-1.093044,3.307295
test,demand_lag_7_Barishal,278,0,0.0,1.49012,1.155043,-2.771129,3.797941
test,demand_lag_7_Rangpur,278,0,0.0,1.121267,0.827199,-0.742629,2.490502
test,demand_lag_7_Cumilla,278,0,0.0,1.110898,0.92371,-1.139588,2.81274
test,demand_lag_7_Khulna,278,0,0.0,1.172205,1.08185,-1.244788,3.228791
test,load_lag_1_Dhaka,278,0,0.0,0.443473,0.993816,-0.22391,5.584335
test,load_lag_1_Chattogram,278,0,0.0,0.265886,1.333497,-0.158799,7.350002
test,load_lag_1_Rajshahi,278,0,0.0,0.243768,1.355341,-0.25996,8.021766
test,load_lag_1_Mymensingh,278,0,0.0,0.900561,1.409925,-0.378083,5.147905
test,load_lag_1_Sylhet,278,0,0.0,0.278486,1.265294,-0.2324,5.846377
test,load_lag_1_Barishal,278,0,0.0,0.277473,1.861119,-0.089903,11.746413
test,load_lag_1_Rangpur,278,0,0.0,0.836953,1.638393,-0.268089,7.349267
test,load_lag_1_Cumilla,278,0,0.0,0.448097,1.326618,-0.273562,5.846801
test,load_lag_1_Khulna,278,0,0.0,0.095338,1.110377,-0.240235,6.896194
test,demand_rolling_mean_7_Dhaka,278,0,0.0,1.436364,0.842126,-0.918619,2.875563
test,demand_rolling_mean_7_Chattogram,278,0,0.0,0.928503,0.794938,-1.087169,2.322445
test,demand_rolling_mean_7_Rajshahi,278,0,0.0,1.188986,1.264339,-1.153376,3.664084
test,demand_rolling_mean_7_Mymensingh,278,0,0.0,1.494223,1.028807,-0.547541,3.734661
test,demand_rolling_mean_7_Sylhet,278,0,0.0,1.163649,1.020993,-0.856372,3.135678
test,demand_rolling_mean_7_Barishal,278,0,0.0,1.545777,1.048429,-1.444345,3.306347
test,demand_rolling_mean_7_Rangpur,278,0,0.0,1.152058,0.754132,-0.459463,2.39734
test,demand_rolling_mean_7_Cumilla,278,0,0.0,1.140292,0.874611,-0.842901,2.613219
test,demand_rolling_mean_7_Khulna,278,0,0.0,1.223482,1.063615,-0.894641,2.946614
test,regional_demand_share_Dhaka,278,0,0.0,0.290634,1.070518,-3.690768,2.150931
test,regional_demand_share_Chattogram,278,0,0.0,-0.958441,0.871417,-3.766332,1.897624
test,regional_demand_share_Rajshahi,278,0,0.0,-0.416143,1.061391,-2.76967,3.094937
test,regional_demand_share_Mymensingh,278,0,0.0,0.022396,0.79586,-3.483773,2.675946
test,regional_demand_share_Sylhet,278,0,0.0,0.02523,1.165182,-3.663867,3.249389
test,regional_demand_share_Barishal,278,0,0.0,0.805807,1.392967,-6.813587,5.696934
test,regional_demand_share_Rangpur,278,0,0.0,0.264832,0.522998,-1.238182,1.929386
test,regional_demand_share_Cumilla,278,0,0.0,0.096743,0.884855,-3.415166,3.300534
test,regional_demand_share_Khulna,278,0,0.0,-0.230924,0.981686,-2.542072,4.817624
test,regional_load_intensity_Dhaka,278,0,0.0,0.364009,0.860357,-0.223353,4.86955
test,regional_load_intensity_Chattogram,278,0,0.0,0.249098,1.29366,-0.160481,7.727655
test,regional_load_intensity_Rajshahi,278,0,0.0,0.190336,1.213221,-0.262781,6.683639
test,regional_load_intensity_Mymensingh,278,0,0.0,0.747463,1.207528,-0.385168,3.76246
test,regional_load_intensity_Sylhet,278,0,0.0,0.233577,1.151855,-0.237826,4.72162
test,regional_load_intensity_Barishal,278,0,0.0,0.301706,1.996114,-0.089764,16.588236
test,regional_load_intensity_Rangpur,278,0,0.0,0.683442,1.390438,-0.270983,5.809361
test,regional_load_intensity_Cumilla,278,0,0.0,0.386099,1.205724,-0.274786,5.255716
test,regional_load_intensity_Khulna,278,0,0.0,0.073301,1.056682,-0.244341,6.351518
